water_binder_ratio,cement_amount,fly_ash_dosage,slag_dosage,lithium_slag_dosage,composite_powder_dosage,sand_ratio,superplasticizer_dosage,has_fly_ash,has_slag,has_lithium_slag,has_composite_powder,has_superplasticizer,cement_strength_28d,cement_standard_consistency,fly_ash_activity_index,fly_ash_water_demand_ratio,slag_activity_index,slag_fluidity_ratio,lithium_slag_activity_index,lithium_slag_water_demand_ratio,composite_powder_activity_index,composite_powder_fluidity_ratio,sand_fineness_modulus,sand_mb_value,sand_mud_content,stone_crushing_value,stone_needle_flake,super_water_reducing_rate,super_solid_content,super_recommended_dosage,feature_slump,temperature,humidity,curing_age,target_strength_28d,target_slump,target_density,target_superplasticizer_dosage
0.48,235,0,0,0,32,46,2.1,0,0,0,1,1,54.1,26.7,-1,-1,-1,-1,-1,-1,82,103,3,0.38,5.6,8,4.9,28.1,10.37,1.8,235,20,95,28,43.2,-1,2400,2.1
0.29,460,0,0,0,11,39,2.6,0,0,0,1,1,54.1,26.7,-1,-1,-1,-1,-1,-1,82,103,3.1,0.35,3.7,8,4.9,28.1,10.37,1.8,235,20,95,28,58.2,-1,2440,2.6
0.29,460,0,0,0,11,39,3.1,0,0,0,1,1,54.1,26.7,-1,-1,-1,-1,-1,-1,82,103,2.9,0.41,7.4,8,4.9,28.1,10.37,1.8,255,20,95,28,72,-1,2440,3.1
0.46,360,0,0,0,0,46.5,2.2,0,0,0,0,1,56.4,27.3,-1,-1,-1,-1,-1,-1,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,215,20,95,28,47.8,-1,2430,2.2
0.46,324,0,0,0,10,46.5,2,0,0,0,1,1,56.4,27.3,-1,-1,-1,-1,-1,-1,85,104,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,220,20,95,28,48.5,-1,2430,2
0.46,288,0,0,0,20,46.5,1.9,0,0,0,1,1,56.4,27.3,-1,-1,-1,-1,-1,-1,85,104,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,215,20,95,28,47.1,-1,2430,1.9
0.46,252,0,0,0,30,46.5,1.8,0,0,0,1,1,56.4,27.3,-1,-1,-1,-1,-1,-1,85,104,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,230,20,95,28,44.7,-1,2430,1.8
0.46,324,0,0,0,10,46.5,1.9,0,0,0,1,1,56.4,27.3,-1,-1,-1,-1,-1,-1,85,104,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,225,20,95,28,46,-1,2430,1.9
0.46,288,0,0,0,20,46.5,1.8,0,0,0,1,1,56.4,27.3,-1,-1,-1,-1,-1,-1,85,104,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,235,20,95,28,43.8,-1,2430,1.8
0.46,252,0,0,0,30,46.5,1.8,0,0,0,1,1,56.4,27.3,-1,-1,-1,-1,-1,-1,85,104,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,230,20,95,28,45,-1,2430,1.8
0.46,288,0,20,0,0,46.5,1.8,0,1,0,0,1,56.4,27.3,-1,-1,115,107,-1,-1,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,240,20,95,28,47.2,-1,2430,1.8
0.46,252,0,30,0,0,46.5,1.7,0,1,0,0,1,56.4,27.3,-1,-1,115,107,-1,-1,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,240,20,95,28,47.9,-1,2430,1.7
0.46,216,0,40,0,0,46.5,1.6,0,1,0,0,1,56.4,27.3,-1,-1,115,107,-1,-1,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,240,20,95,28,48.4,-1,2430,1.6
0.46,180,0,50,0,0,46.5,1.5,0,1,0,0,1,56.4,27.3,-1,-1,115,107,-1,-1,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,1.8,230,20,95,28,51.9,-1,2430,1.5
0.42,288,0,0,20,0,46.5,2.2,0,0,1,0,1,56.4,27.3,-1,-1,-1,-1,106,103,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,2.6,235,20,95,28,53.9,-1,2416,2.2
0.4,252,0,0,30,0,46.5,2.3,0,0,1,0,1,56.4,27.3,-1,-1,-1,-1,106,103,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,2.6,235,20,95,28,51.1,-1,2409,2.3
0.4,288,0,0,20,0,46.5,2.1,0,0,1,0,1,56.4,27.3,-1,-1,-1,-1,101,103,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,2.6,240,20,95,28,55.9,-1,2408,2.1
0.37,252,0,0,30,0,46.5,2.3,0,0,1,0,1,56.4,27.3,-1,-1,-1,-1,101,103,-1,-1,2.7,0.27,5,7.9,5.1,30.9,10.68,2.6,230,20,95,28,47.5,-1,2397,2.3
0.4,360,0,0,0,0,46.5,2.2,0,0,0,0,1,52.5,26.6,-1,-1,-1,-1,-1,-1,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,230,20,95,28,42.4,-1,2409,2.2
0.4,324,0,0,0,10,46.5,2,0,0,0,1,1,52.5,26.6,-1,-1,-1,-1,-1,-1,90,102,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,44.2,-1,2409,2
0.4,288,0,0,0,20,46.5,1.9,0,0,0,1,1,52.5,26.6,-1,-1,-1,-1,-1,-1,90,102,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,50.3,-1,2409,1.9
0.4,252,0,0,0,30,46.5,1.8,0,0,0,1,1,52.5,26.6,-1,-1,-1,-1,-1,-1,90,102,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,50.9,-1,2409,1.8
0.4,324,0,0,0,10,46.5,1.9,0,0,0,1,1,52.5,26.6,-1,-1,-1,-1,-1,-1,88,101,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,44.6,-1,2409,1.9
0.4,288,0,0,0,20,46.5,1.9,0,0,0,1,1,52.5,26.6,-1,-1,-1,-1,-1,-1,88,101,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,220,20,95,28,49,-1,2409,1.9
0.4,252,0,0,0,30,46.5,1.9,0,0,0,1,1,52.5,26.6,-1,-1,-1,-1,-1,-1,88,101,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,230,20,95,28,46.1,-1,2409,1.9
0.4,288,0,20,0,0,46.5,1.8,0,1,0,0,1,52.5,26.6,-1,-1,106,105,-1,-1,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,51.9,-1,2409,1.8
0.4,252,0,30,0,0,46.5,1.7,0,1,0,0,1,52.5,26.6,-1,-1,106,105,-1,-1,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,235,20,95,28,53.3,-1,2409,1.7
0.4,216,0,40,0,0,46.5,1.6,0,1,0,0,1,52.5,26.6,-1,-1,106,105,-1,-1,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,230,20,95,28,53.4,-1,2409,1.6
0.4,180,0,50,0,0,46.5,1.5,0,1,0,0,1,52.5,26.6,-1,-1,106,105,-1,-1,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,52.7,-1,2409,1.5
0.4,288,0,20,0,0,46.5,1.8,0,1,0,0,1,52.5,26.6,-1,-1,98,102,-1,-1,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,41.9,-1,2409,1.8
0.4,252,0,30,0,0,46.5,1.97,0,1,0,0,1,52.5,26.6,-1,-1,98,102,-1,-1,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,1.8,225,20,95,28,51.1,-1,2409,1.97
0.34,288,0,0,20,0,46.5,2.2,0,0,1,0,1,52.5,26.6,-1,-1,-1,-1,84,105,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,2.6,235,20,95,28,56.2,-1,2386,2.2
0.31,252,0,0,30,0,46.5,2.5,0,0,1,0,1,52.5,26.6,-1,-1,-1,-1,84,105,-1,-1,2.7,0.27,6,5.8,4.8,28.1,10.37,2.6,240,20,95,28,64.5,-1,2375,2.5
0.65,360,0,0,0,0,46,0,0,0,0,0,0,53.2,27.2,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.3,7.2,6.2,4.7,-1,-1,1.8,210,20,95,28,36.8,-1,2454,0
0.46,360,0,0,0,0,46,2,0,0,0,0,1,53.2,27.2,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.3,7.2,6.2,4.7,28.1,10.37,1.8,220,20,95,28,46.9,-1,2384,2
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,53.2,27.2,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.3,7.2,6.2,4.7,28.94,11.33,1.8,225,20,95,28,54.2,-1,2384,1.8
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,53.2,27.2,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.3,7.2,6.2,4.7,28.98,12.91,1.8,225,20,95,28,51.7,-1,2384,1.8
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,53.2,27.2,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.3,7.2,6.2,4.7,29.48,11.61,1.8,230,20,95,28,55.9,-1,2384,1.8
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,53.2,27.2,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.3,7.2,6.2,4.7,29.5,12.35,1.8,230,20,95,28,49.5,-1,2384,1.8
0.65,360,0,0,0,0,46,0,0,0,0,0,0,54.1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.4,4.4,7.8,5.1,-1,-1,1.8,210,20,95,28,38,-1,2454,0
0.46,360,0,0,0,0,46,2,0,0,0,0,1,54.1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.4,4.4,7.8,5.1,28.67,11.45,1.8,225,20,95,28,43.4,-1,2384,2
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,54.1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.4,4.4,7.8,5.1,28.87,8.93,1.8,225,20,95,28,47.8,-1,2384,1.8
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,54.1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.4,4.4,7.8,5.1,28.97,12.36,1.8,225,20,95,28,54.3,-1,2384,1.8
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,54.1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.4,4.4,7.8,5.1,29.5,12.54,1.8,230,20,95,28,57.2,-1,2384,1.8
0.46,360,0,0,0,0,46,1.8,0,0,0,0,1,54.1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,2.6,0.4,4.4,7.8,5.1,28.94,11.44,1.8,225,20,95,28,47.6,-1,2384,1.8
0.42,360,0,0,0,0,46.5,2.2,0,0,0,0,1,53.4,26.6,-1,-1,-1,-1,-1,-1,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,235,20,95,28,44.7,-1,2417,2.2
0.42,324,0,0,0,10,46.5,2.2,0,0,0,1,1,53.4,26.6,-1,-1,-1,-1,-1,-1,81,100,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,235,20,95,28,45.5,-1,2417,2.2
0.42,288,0,0,0,20,46.5,2.1,0,0,0,1,1,53.4,26.6,-1,-1,-1,-1,-1,-1,81,100,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,235,20,95,28,44.3,-1,2417,2.1
0.42,252,0,0,0,30,46.5,2,0,0,0,1,1,53.4,26.6,-1,-1,-1,-1,-1,-1,81,100,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,235,20,95,28,36.6,-1,2417,2
0.42,324,0,0,0,10,46.5,2.1,0,0,0,1,1,53.4,26.6,-1,-1,-1,-1,-1,-1,88,102,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,235,20,95,28,44.1,-1,2417,2.1
0.42,288,0,0,0,20,46.5,2.1,0,0,0,1,1,53.4,26.6,-1,-1,-1,-1,-1,-1,88,102,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,240,20,95,28,41.6,-1,2417,2.1
0.42,252,0,0,0,30,46.5,2.1,0,0,0,1,1,53.4,26.6,-1,-1,-1,-1,-1,-1,88,102,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,230,20,95,28,41.2,-1,2417,2.1
0.42,288,0,20,0,0,46.5,2,0,1,0,0,1,53.4,26.6,-1,-1,112,108,-1,-1,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,230,20,95,28,51.7,-1,2417,2
0.42,252,0,30,0,0,46.5,2,0,1,0,0,1,53.4,26.6,-1,-1,112,108,-1,-1,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,240,20,95,28,56.9,-1,2417,2
0.42,216,0,40,0,0,46.5,1.9,0,1,0,0,1,53.4,26.6,-1,-1,112,108,-1,-1,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,235,20,95,28,51.2,-1,2417,1.9
0.42,180,0,50,0,0,46.5,1.8,0,1,0,0,1,53.4,26.6,-1,-1,112,108,-1,-1,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,1.8,245,20,95,28,51.3,-1,2417,1.8
0.37,288,0,0,20,0,46.5,2.4,0,0,1,0,1,53.4,26.6,-1,-1,-1,-1,106,103,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,2.6,230,20,95,28,51.4,-1,2399,2.4
0.35,252,0,0,30,0,46.5,2.57,0,0,1,0,1,53.4,26.6,-1,-1,-1,-1,106,103,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,2.6,240,20,95,28,49.7,-1,2390,2.57
0.37,288,0,0,20,0,46.5,2.4,0,0,1,0,1,53.4,26.6,-1,-1,-1,-1,100,106,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,2.6,235,20,95,28,53.2,-1,2397,2.4
0.34,252,0,0,30,0,46.5,2.57,0,0,1,0,1,53.4,26.6,-1,-1,-1,-1,100,106,-1,-1,2.7,0.35,5.8,8.1,5.3,28.99,10.2,2.6,230,20,95,28,53.7,-1,2387,2.57
